,area,rent amount (R$)
0,70,3300
1,320,4960
2,80,2800
3,51,1112
4,25,800
5,376,8000
6,72,1900
7,213,3223
8,152,15000
9,35,2300
10,26,2100
11,46,580
12,36,2100
13,55,4200
14,100,4370
15,330,8000
16,110,3000
17,88,3500
18,56,1220
19,600,12000
20,100,3800
21,42,2690
22,160,1900
23,35,1100
24,90,1800
25,49,3500
26,41,3000
27,64,1500
28,208,3180
29,20,1800
30,55,1068
31,32,1700
32,80,2550
33,45,2500
34,350,4000
35,38,1750
36,30,1600
37,80,11000
38,70,1150
39,40,2990
40,300,12000
41,240,3500
42,200,2550
43,45,1631
44,360,6410
45,40,2829
46,100,1220
47,42,1770
48,250,1700
49,48,1600
50,90,3800
51,45,3900
52,150,4000
53,60,1445
54,31,2350
55,210,9000
56,280,6000
57,93,5500
58,75,1800
59,194,4000
60,41,4000
61,65,5100
62,70,2150
63,278,9000
64,35,1521
65,300,6000
66,61,1850
67,130,1700
68,80,900
69,164,5000
70,220,2422
71,45,1050
72,108,5600
73,128,2100
74,60,1800
75,250,9800
76,47,2200
77,170,2700
78,45,1240
79,42,3500
80,164,6000
81,70,1020
82,100,2200
83,64,4500
84,68,1200
85,75,2500
86,600,8500
87,63,1550
88,145,6000
89,85,2800
90,254,9000
91,350,9000
92,300,3500
93,296,13500
94,64,2800
95,133,2957
96,44,550
97,240,3000
98,70,2500
99,22,2050
100,50,950
101,67,2200
102,31,2300
103,90,3468
104,109,3800
105,400,2500
106,300,14000
107,284,6000
108,70,2400
109,309,6500
110,70,2100
111,360,10000
112,30,1500
113,80,2200
114,133,7000
115,38,2800
116,73,3500
117,155,2000
118,63,3200
119,58,1400
120,48,3450
121,210,2790
122,100,1600
123,94,3570
124,94,5010
125,76,2500
126,192,7800
127,217,6500
128,68,1400
129,110,2400
130,95,1600
131,900,15000
132,34,1200
133,192,8000
134,62,1800
135,180,3700
136,44,916
137,100,1700
138,140,1370
139,170,2800
140,100,1600
141,75,1600
142,52,1200
143,999,14000
144,270,7000
145,50,930
146,200,2210
147,71,1920
148,500,13000
149,60,1080
150,110,1300
151,210,3294
152,220,6000
153,200,4000
154,130,4250
155,65,4000
156,96,3200
157,660,20000
158,107,3200
159,105,2200
160,100,3290
161,287,9000
162,24,1180
163,22,976
164,70,2529
165,44,1500
166,150,2500
167,90,2900
168,200,2800
169,320,10500
170,90,1700
171,240,2144
172,154,7000
173,60,3230
174,101,2380
175,140,3090
176,500,15000
177,110,2350
178,110,4800
179,90,2000
180,384,15000
181,57,1500
182,160,1500
183,39,1250
184,78,2290
185,36,762
186,70,1200
187,45,3200
188,200,8500
189,100,4300
190,42,5000
191,280,8000
192,28,2800
193,30,1826
194,85,1500
195,83,1080
196,85,3300
197,90,1600
198,50,900
199,50,2900
200,300,6700
201,39,850
202,750,15000
203,60,1100
204,68,1250
205,70,1250
206,90,6500
207,258,8700
208,200,4500
209,123,2990
210,127,2150
211,180,1800
212,110,2900
213,70,1719
214,35,3000
215,219,2900
216,25,700
217,170,7100
218,45,1570
219,420,7000
220,46,1040
221,145,5800
222,59,1100
223,225,7500
224,210,4675
225,76,1249
226,220,5150
227,109,2500
228,95,1000
229,32,1500
230,480,15000
231,53,4390
232,40,780
233,50,3223
234,60,1300
235,64,1500
236,140,12000
237,121,2040
238,43,2100
239,20,1360
240,58,950
241,570,8330
242,88,2790
243,89,6000
244,47,2200
245,40,1100
246,40,1950
247,60,750
