Weight,Height_meters,BMI
96,1.74,31.70828379
87,1.89,24.35542118
110,1.85,32.14024836
104,1.95,27.35042735
61,1.49,27.47623981
104,1.89,29.11452647
92,1.47,42.57485307
111,1.54,46.80384551
90,1.74,29.72651605
103,1.69,36.06316305
81,1.95,21.30177515
80,1.59,31.64431787
101,1.92,27.39800347
51,1.55,21.22788762
79,1.91,21.65510814
107,1.53,45.70891537
110,1.57,44.62655686
129,1.4,65.81632653
145,1.44,69.92669753
139,1.72,46.98485668
110,1.57,44.62655686
149,1.53,63.65073262
97,1.69,33.96239627
139,1.85,40.61358656
67,1.72,22.64737696
64,1.51,28.06894434
95,1.9,26.31578947
62,1.87,17.72998942
159,1.63,59.84417931
152,1.79,47.4392185
121,1.53,51.68952112
52,1.78,16.41206918
65,1.95,17.09401709
131,1.6,51.171875
153,1.57,62.07148363
132,1.89,36.95305283
114,1.97,29.3746296
80,1.44,38.58024691
152,1.71,51.98180637
81,1.85,23.66691015
120,1.75,39.18367347
108,1.49,48.64645737
56,1.57,22.7189744
118,1.61,45.52293507
126,1.82,38.03888419
76,1.85,22.20598977
122,1.88,34.51788139
111,1.81,33.88174964
72,1.61,27.77670615
152,1.4,77.55102041
135,1.68,47.83163265
54,1.76,17.43285124
110,1.63,41.40163348
105,1.72,35.49215792
116,1.96,30.19575177
89,1.87,25.45111384
92,1.72,31.09789075
127,1.78,40.08332281
70,1.64,26.0261749
88,1.43,43.03388919
54,1.91,14.80222582
143,1.41,71.92797143
54,1.93,14.49703348
83,1.9,22.99168975
135,1.75,44.08163265
158,1.79,49.31181923
96,1.72,32.44997296
59,1.68,20.90419501
82,1.64,30.48780488
136,1.94,36.13561484
51,1.53,21.78649237
117,1.78,36.92715566
80,1.41,40.23942458
75,1.8,23.14814815
100,1.85,29.2184076
154,1.97,39.68151717
104,1.65,38.20018365
90,1.68,31.8877551
122,1.76,39.38533058
51,1.81,15.56729038
75,1.64,27.88518739
140,1.66,50.80563217
105,1.9,29.08587258
118,1.86,34.10798936
123,1.68,43.57993197
50,1.98,12.75380063
141,1.75,46.04081633
117,1.45,55.64803805
104,1.59,41.13761323
140,1.85,40.90577064
154,1.78,48.60497412
96,1.83,28.66612918
111,1.94,29.49303858
61,1.77,19.47077787
119,1.97,30.66299054
156,1.7,53.97923875
69,1.42,34.21940091
139,1.6,54.296875
69,1.95,18.14595661
50,1.9,13.85041551
156,1.99,39.39294462
105,1.54,44.27390791
155,1.61,59.79707573
145,1.98,36.98602183
140,1.92,37.97743056
126,1.95,33.13609467
160,1.66,58.06357962
154,1.59,60.91531189
106,1.81,32.3555447
66,1.49,29.72839061
70,1.5,31.11111111
157,1.46,73.65359354
135,1.9,37.39612188
90,1.92,24.4140625
96,1.77,30.64253567
60,1.48,27.39225712
57,1.65,20.93663912
104,1.46,48.78964158
108,1.44,52.08333333
156,1.76,50.36157025
87,1.68,30.82482993
122,1.87,34.8880437
138,1.87,39.46352484
160,1.84,47.25897921
149,1.58,59.68594776
96,1.58,38.45537574
115,1.94,30.55585078
79,1.45,37.57431629
151,1.82,45.58628185
54,1.54,22.76943835
139,1.68,49.24886621
70,1.87,20.01772999
153,1.58,61.28825509
110,1.67,39.44207394
155,1.71,53.00776307
150,1.83,44.79082684
156,1.9,43.2132964
108,1.94,28.69592943
147,1.71,50.27187853
124,1.59,49.04869269
54,1.69,18.90690102
85,1.67,30.47796622
149,1.8,45.98765432
123,1.63,46.2945538
79,1.4,40.30612245
125,1.97,32.20902368
106,1.94,28.16452333
146,1.4,74.48979592
98,1.95,25.77251808
115,1.68,40.74546485
50,1.96,13.01541025
52,1.4,26.53061224
60,1.5,26.66666667
140,1.68,49.6031746
111,1.55,46.20187305
103,1.79,32.14631254
84,1.82,25.35925613
160,1.68,56.6893424
102,1.87,29.16869227
105,1.81,32.05030371
99,1.99,24.9993687
76,1.84,22.44801512
101,1.92,27.39800347
143,1.82,43.1711146
111,1.72,37.52028123
78,1.81,23.80879705
109,1.76,35.18853306
106,1.56,43.55687048
67,1.51,29.38467611
80,1.88,22.63467632
136,1.87,38.89158969
138,1.74,45.58065795
151,1.67,54.14321058
131,1.96,34.10037484
149,1.97,38.39315623
119,1.85,34.76990504
102,1.7,35.29411765
94,1.81,28.69265285
126,1.66,45.72506895
100,1.88,28.29334541
74,1.62,28.1969212
117,1.77,37.34559035
97,1.62,36.96082914
73,1.8,22.5308642
108,1.92,29.296875
80,1.65,29.38475666
135,1.67,48.40618165
84,1.82,25.35925613
134,1.61,51.69553644
95,1.58,38.05479891
85,1.41,42.75438861
100,1.54,42.16562658
105,1.65,38.56749311
137,1.42,67.94286848
94,1.41,47.28132388
108,1.45,51.36741974
74,1.57,30.02150189
117,1.77,37.34559035
144,1.66,52.25722166
151,1.93,40.53800102
57,1.84,16.83601134
93,1.79,29.02531132
89,1.56,36.57133465
104,1.82,31.39717425
160,1.45,76.09988109
87,1.5,38.66666667
99,1.45,47.08680143
122,1.96,31.757601
96,1.91,26.31506812
67,1.48,30.58802045
84,1.5,37.33333333
155,1.48,70.7633309
146,1.53,62.36917425
159,1.96,41.38900458
52,1.85,15.19357195
131,1.71,44.80010944
118,1.43,57.70453323
86,1.42,42.6502678
126,1.41,63.37709371
109,1.59,43.11538309
82,1.73,27.39817568
138,1.83,41.20756069
90,1.52,38.95429363
140,1.78,44.18634011
54,1.88,15.27840652
144,1.55,59.93756504
70,1.66,25.40281608
123,1.88,34.80081485
120,1.71,41.03826819
130,1.79,40.57301582
137,1.86,39.59995375
78,1.53,33.32051775
86,1.84,25.40170132
81,1.77,25.85463947
78,1.45,37.09869203
81,1.7,28.02768166
141,1.81,43.03897927
155,1.65,56.93296602
65,1.74,21.46915048
110,1.46,51.6044286
85,1.78,26.82742078
61,1.66,22.13673973
62,1.91,16.99514816
155,1.77,49.47492738
50,1.83,14.93027561
114,1.51,49.99780711
98,1.82,29.58579882
159,1.42,78.8534021
90,1.88,25.46401086
89,1.61,34.3350951
70,1.53,29.90302875
143,1.4,72.95918367
141,1.69,49.36801933
159,1.62,60.58527663
147,1.83,43.8950103
58,1.62,22.10028959
109,1.72,36.84424013
119,1.5,52.88888889
145,1.69,50.76853051
132,1.84,38.98865784
104,1.59,41.13761323
131,1.63,49.30558169
137,1.56,56.29520053
52,1.57,21.09619051
84,1.47,38.87269193
86,1.41,43.25738142
139,1.73,46.44324902
145,1.54,61.14015854
148,1.68,52.43764172
50,1.68,17.7154195
130,1.45,61.83115339
103,1.52,44.58102493
121,1.87,34.60207612
57,1.63,21.45357371
83,1.78,26.19618735
94,1.87,26.8809517
114,1.79,35.57941388
80,1.9,22.16066482
75,1.72,25.35154137
57,1.88,16.12720688
65,1.93,17.45013289
126,1.47,58.3090379
94,1.47,43.50039335
107,1.66,38.83001887
139,1.92,37.70616319
139,1.81,42.4284973
74,1.5,32.88888889
160,1.78,50.49867441
52,1.56,21.36752137
100,1.49,45.04301608
74,1.56,30.40762656
105,1.83,31.35357879
68,1.62,25.91068435
83,1.65,30.48668503
143,1.68,50.66609977
156,1.6,60.9375
88,1.69,30.8112461
76,1.4,38.7755102
92,1.87,26.30901656
82,1.51,35.96333494
140,1.86,40.46710602
108,1.82,32.60475788
81,1.88,22.91760978
110,1.79,34.33101339
126,1.56,51.77514793
114,1.88,32.25441376
153,1.83,45.68664338
88,1.44,42.4382716
69,1.96,17.96126614
141,1.71,48.21996512
147,1.71,50.27187853
156,1.8,48.14814815
146,1.91,40.02083276
67,1.79,20.91070816
60,1.8,18.51851852
132,1.54,55.65862709
99,1.88,28.01041195
135,1.42,66.95100179
95,1.7,32.87197232
141,1.52,61.02839335
118,1.9,32.68698061
111,1.81,33.88174964
104,1.53,44.427357
140,1.87,40.03545998
66,1.44,31.8287037
54,1.48,24.65303141
92,1.99,23.23173657
85,1.67,30.47796622
71,1.64,26.39797739
102,1.85,29.80277575
160,1.64,59.48839976
71,1.42,35.21126761
68,1.65,24.97704316
62,1.72,20.9572742
56,1.57,22.7189744
57,1.55,23.72528616
153,1.67,54.8603392
126,1.64,46.84711481
125,1.89,34.99342124
145,1.61,55.93919988
71,1.55,29.55254943
118,1.71,40.35429705
92,1.54,38.79237645
83,1.79,25.9043101
115,1.7,39.79238754
106,1.84,31.30907372
68,1.91,18.63983992
58,1.62,22.10028959
138,1.78,43.55510668
60,1.57,24.34175829
83,1.84,24.51559546
88,1.97,22.67515267
51,1.6,19.921875
153,1.84,45.19139887
50,1.9,13.85041551
90,1.74,29.72651605
124,1.89,34.71347387
143,1.86,41.3342583
58,1.8,17.90123457
148,1.86,42.77951208
61,1.93,16.37627856
103,1.61,39.73612129
158,1.51,69.29520635
147,1.95,38.65877712
152,1.84,44.89603025
80,1.41,40.23942458
94,1.85,27.46530314
127,1.86,36.70944618
131,1.42,64.9672684
67,1.47,31.00559952
62,1.51,27.19178983
124,1.6,48.4375
60,1.85,17.53104456
63,1.63,23.71184463
95,1.74,31.37798917
144,1.5,64
91,1.42,45.12993454
142,1.78,44.81757354
96,1.54,40.47900152
87,1.76,28.08626033
120,1.59,47.4664768
62,1.91,16.99514816
117,1.77,37.34559035
154,1.51,67.54089733
149,1.82,44.98249004
72,1.97,18.55239764
138,1.46,64.74010133
83,1.6,32.421875
66,1.57,26.77593411
50,1.5,22.22222222
58,1.67,20.79672989
70,1.8,21.60493827
76,1.83,22.69401893
87,1.83,25.97867957
154,1.52,66.65512465
71,1.64,26.39797739
96,1.87,27.45288684
136,1.69,47.61738034
61,1.49,27.47623981
137,1.63,51.56385261
104,1.95,27.35042735
107,1.74,35.34152464
70,1.82,21.13271344
110,1.69,38.51405763
130,1.93,34.90026578
141,1.48,64.37180424
68,1.86,19.6554515
143,1.65,52.52525253
123,1.46,57.7031338
133,1.66,48.26535056
56,1.79,17.47760682
101,1.77,32.23850107
154,1.81,47.00711212
154,1.61,59.41128814
103,1.57,41.78668506
98,1.69,34.31252407
114,1.52,49.34210526
64,1.62,24.38652644
130,1.62,49.53513184
61,1.77,19.47077787
61,1.95,16.04207758
146,1.4,74.48979592
146,1.86,42.20141057
107,1.78,33.77098851
54,1.74,17.83590963
59,1.8,18.20987654
141,1.88,39.89361702
130,1.87,37.17578427
77,1.53,32.89333162
95,1.65,34.89439853
79,1.78,24.93372049
154,1.63,57.96228688
97,1.5,43.11111111
127,1.79,39.63671546
62,1.65,22.77318641
158,1.68,55.98072562
133,1.53,56.81575462
157,1.84,46.37287335
65,1.88,18.39067451
153,1.66,55.52329801
116,1.72,39.21038399
73,1.82,22.03840116
149,1.43,72.86419874
146,1.52,63.19252078
128,1.86,36.99849694
140,1.59,55.37755627
70,1.46,32.83918184
121,1.76,39.0625
101,1.46,47.38224808
145,1.59,57.35532613
157,1.62,59.82319768
90,1.72,30.42184965
121,1.69,42.36546339
50,1.82,15.09479531
79,1.83,23.58983547
77,1.76,24.85795455
128,1.88,36.21548212
83,1.75,27.10204082
81,1.54,34.15415753
147,1.84,43.41918715
123,1.79,38.38831497
132,1.52,57.13296399
56,1.79,17.47760682
141,1.45,67.06302021
80,1.81,24.41927902
127,1.58,50.87325749
99,1.88,28.01041195
142,1.45,67.53864447
115,1.61,44.36557232
109,1.98,27.80328538
142,1.47,65.71336017
112,1.54,47.22550177
65,1.78,20.51508648
153,1.95,40.23668639
79,1.67,28.32658037
131,1.83,39.11732211
142,1.64,52.79595479
64,1.67,22.94811574
55,1.51,24.12174905
107,1.47,49.5164052
115,1.55,47.86680541
108,1.72,36.50621958
86,1.42,42.6502678
85,1.46,39.87614937
115,1.88,32.53734722
111,1.73,37.0877744
109,1.6,42.578125
80,1.87,22.8774057
136,1.98,34.69033772
150,1.79,46.81501826
59,1.64,21.93634741
147,1.46,68.96228185
50,1.98,12.75380063
53,1.7,18.33910035
98,1.52,42.41689751
153,1.5,68
121,1.84,35.73960302
136,1.41,68.40702178
95,1.5,42.22222222
131,1.73,43.77025627
