Gender,Married,Education,Self_Employed,ApplicantIncome,Credit_History,Loan_Status
1,1,1,0,4583,1,No
1,1,1,1,3000,1,Yes
1,1,0,0,2583,1,Yes
1,0,1,0,6000,1,Yes
1,1,1,1,5417,1,Yes
1,1,0,0,2333,1,Yes
1,1,1,0,3036,0,No
1,1,1,0,4006,1,Yes
1,1,1,0,12841,1,No
1,1,1,0,3200,1,Yes
1,1,1,0,3073,1,Yes
1,0,1,0,1853,1,No
1,1,1,0,1299,1,Yes
1,0,1,0,4950,1,Yes
0,0,1,0,3510,0,No
1,1,0,0,4887,1,No
1,1,0,0,7660,0,No
1,1,1,0,5955,1,Yes
1,1,0,0,2600,0,No
1,1,1,1,9560,1,Yes
1,1,1,0,2799,1,Yes
1,1,0,0,4226,1,Yes
1,0,0,0,1442,1,No
1,0,1,0,3167,1,No
1,0,1,1,4692,1,No
1,1,1,0,3500,1,Yes
1,0,1,0,12500,1,No
0,1,1,0,3667,1,Yes
1,0,1,0,4166,1,Yes
1,0,0,0,3748,1,Yes
1,0,1,0,3600,1,No
1,0,1,0,1800,1,Yes
1,1,1,0,3941,1,Yes
1,1,1,0,5649,1,Yes
1,1,1,0,5821,1,Yes
0,1,1,0,2645,0,No
0,0,1,0,4000,1,Yes
0,1,0,0,1928,1,Yes
0,0,1,0,3086,1,Yes
0,0,1,0,4230,1,No
1,1,1,0,4616,1,No
0,1,1,1,11500,0,No
1,1,1,0,2708,1,Yes
1,1,1,0,2132,1,Yes
1,1,1,0,3366,1,No
1,1,1,0,8080,1,Yes
1,1,0,0,3357,1,Yes
1,1,1,0,2500,1,Yes
1,1,1,0,3029,1,Yes
1,1,0,1,2609,0,No
0,0,1,0,4166,0,No
1,1,1,0,5726,1,No
1,0,0,0,3200,0,No
1,1,1,0,10750,1,Yes
1,1,0,1,7100,1,Yes
0,0,1,0,4300,0,No
1,1,1,0,3208,1,Yes
1,1,0,1,1875,1,Yes
1,0,1,0,3500,1,Yes
1,1,1,1,5266,1,Yes
1,0,1,0,3750,1,No
1,0,1,0,3750,1,No
1,1,1,1,1000,1,No
1,1,1,0,3167,0,No
0,0,1,0,3846,1,Yes
0,1,1,0,1378,1,No
1,1,1,0,3988,1,Yes
1,0,1,0,2366,1,Yes
1,1,1,0,2500,1,Yes
1,0,1,0,8566,1,Yes
1,1,1,0,5695,1,Yes
1,1,1,0,2958,1,Yes
1,1,1,0,6250,1,Yes
1,1,0,0,3273,1,Yes
1,0,1,0,4133,1,Yes
1,0,0,0,3620,1,Yes
0,1,1,0,2484,1,Yes
1,1,1,0,1977,1,Yes
1,1,0,0,4188,1,Yes
1,1,1,0,1759,1,Yes
1,1,0,0,4288,1,Yes
1,0,1,0,4843,1,Yes
1,1,1,0,3052,1,Yes
1,1,1,0,11417,1,Yes
1,1,1,0,3800,0,No
1,1,0,0,2071,1,Yes
1,0,1,0,5316,1,Yes
1,1,1,0,14583,1,Yes
0,1,1,0,3167,1,Yes
1,1,1,0,5568,1,No
0,0,1,0,10408,1,Yes
0,0,1,0,4166,1,Yes
0,0,1,0,2137,0,Yes
1,1,1,0,2957,1,Yes
1,1,0,0,4300,1,Yes
1,1,1,1,10513,0,No
1,0,1,0,2014,1,Yes
1,0,1,0,2718,1,Yes
1,1,1,1,3459,1,Yes
1,0,1,0,4895,1,Yes
1,1,1,0,4000,1,No
0,1,1,0,4583,1,No
1,1,1,1,3316,1,Yes
1,0,1,0,14999,0,No
1,1,0,0,4200,1,No
1,1,1,0,5042,1,No
1,0,1,0,5417,1,Yes
1,0,1,1,6950,1,Yes
1,1,1,0,2698,1,Yes
1,1,1,0,11757,1,Yes
0,1,1,0,2330,1,Yes
0,1,1,0,14866,1,Yes
1,1,1,0,1538,1,Yes
0,0,1,0,10000,1,No
1,1,1,0,4860,1,Yes
1,0,1,0,6277,0,No
1,1,1,1,2577,1,Yes
1,0,1,0,9166,1,No
1,1,0,0,2281,1,No
1,0,1,0,3254,1,Yes
1,1,1,0,39999,0,Yes
1,1,1,0,9538,1,Yes
1,1,1,0,4583,1,Yes
1,1,0,0,1863,1,Yes
1,1,1,0,7933,1,No
1,1,1,0,3089,0,No
1,1,1,0,4167,1,Yes
1,1,1,0,9323,1,Yes
0,1,1,0,4583,1,No
1,1,1,0,2439,1,Yes
1,0,1,0,2237,0,No
