,Weight,Height
0,242.0,11.52
1,290.0,12.48
2,340.0,12.3778
3,363.0,12.73
4,430.0,12.444
5,450.0,13.6024
6,500.0,14.1795
7,390.0,12.67
8,450.0,14.0049
9,500.0,14.2266
10,475.0,14.2628
11,500.0,14.3714
12,500.0,13.7592
13,340.0,13.9129
14,600.0,14.9544
15,600.0,15.437999999999999
16,700.0,14.8604
17,700.0,14.937999999999999
18,610.0,15.633
19,650.0,14.4738
20,575.0,15.1285
21,685.0,15.9936
22,620.0,15.5227
23,680.0,15.4686
24,700.0,16.2405
25,725.0,16.36
26,720.0,16.3618
27,714.0,16.517
28,850.0,16.8896
29,1000.0,18.957
30,920.0,18.0369
31,955.0,18.084
32,925.0,18.7542
33,975.0,18.6354
34,950.0,17.6235
35,40.0,4.1472
36,69.0,5.2983
37,78.0,5.5756
38,87.0,5.6166
39,120.0,6.216
40,0.0,6.4752
41,110.0,6.1677
42,120.0,6.1146
43,150.0,5.8045
44,145.0,6.6339
45,160.0,7.0334
46,140.0,6.55
47,160.0,6.4
48,169.0,7.5344
49,161.0,6.9153
50,200.0,7.3968
51,180.0,7.0866
52,290.0,8.8768
53,272.0,8.568
54,390.0,9.485
55,270.0,8.3804
56,270.0,8.1454
57,306.0,8.777999999999999
58,540.0,10.744000000000002
59,800.0,11.7612
60,1000.0,12.354000000000001
61,55.0,6.8475
62,60.0,6.5772
63,90.0,7.4052
64,120.0,8.3922
65,150.0,8.8928
66,140.0,8.5376
67,170.0,9.396
68,145.0,9.7364
69,200.0,10.3458
70,273.0,11.088
71,300.0,11.368
72,5.9,2.112
73,32.0,3.528
74,40.0,3.824
75,51.5,4.5924
76,70.0,4.588
77,100.0,5.2224
78,78.0,5.1992
79,80.0,5.6358
80,85.0,5.1376
81,85.0,5.082
82,110.0,5.6925
83,115.0,5.9175
84,125.0,5.6925
85,130.0,6.3839999999999995
86,120.0,6.11
87,120.0,5.64
88,130.0,6.11
89,135.0,5.875
90,110.0,5.5225
91,130.0,5.856
92,150.0,6.792000000000001
93,145.0,5.9532
94,150.0,5.2185
95,170.0,6.275
96,225.0,7.292999999999999
97,145.0,6.375
98,188.0,6.7334
99,180.0,6.4395
100,197.0,6.561
101,218.0,7.167999999999999
102,300.0,8.323
103,260.0,7.1672
104,265.0,7.0516
105,250.0,7.2828
106,250.0,7.8204
107,300.0,7.5852
108,320.0,7.6156
109,514.0,10.03
110,556.0,10.2565
111,840.0,11.4884
112,685.0,10.880999999999998
113,700.0,10.6091
114,700.0,10.835
115,690.0,10.5717
116,900.0,11.1366
117,650.0,11.1366
118,820.0,12.4313
119,850.0,11.9286
120,900.0,11.73
121,1015.0,12.3808
122,820.0,11.135
123,1100.0,12.8002
124,1000.0,11.9328
125,1100.0,12.5125
126,1000.0,12.604000000000001
127,1000.0,12.4888
128,200.0,5.568
129,300.0,5.7078
130,300.0,5.9364
131,300.0,6.2884
132,430.0,7.29
133,345.0,6.396
134,456.0,7.28
135,510.0,6.825
136,540.0,7.7860000000000005
137,500.0,6.96
138,567.0,7.792000000000001
139,770.0,7.68
140,950.0,8.9262
141,1250.0,10.6863
142,1600.0,9.6
143,1550.0,9.6
144,1650.0,10.812000000000001
145,6.7,1.7388
146,7.5,1.972
147,7.0,1.7284
148,9.7,2.1959999999999997
149,9.8,2.0832
150,8.7,1.9782
151,10.0,2.2139
152,9.9,2.2139
153,9.8,2.2044
154,12.2,2.0904
155,13.4,2.43
156,12.2,2.2769999999999997
157,19.7,2.8728
158,19.9,2.9322
